Player,Pos,Ht_in,Wt,Birth Date,Colleges
Rich Jones,F-C,78,220.0,1946-12-27,Memphis
Robin Jones,F-C,81,225.0,1954-02-02,Saint Louis
Sam Jones*,G-F,76,198.0,1933-06-24,NC Central
Shelton Jones,F,81,210.0,1966-04-06,St. John's
Solomon Jones,F,82,230.0,1984-07-16,South Florida
Steve Jones,G-F,77,205.0,1942-10-17,Oregon
Terrence Jones,F,81,252.0,1992-01-09,Kentucky
Tre Jones,G,73,185.0,2000-01-08,Duke
Tyus Jones,G,72,196.0,1996-05-10,Duke
Wah Wah Jones,F,76,225.0,1926-07-14,Kentucky
Wali Jones,G,74,180.0,1942-02-14,Villanova
Wil Jones,F,80,205.0,1947-02-27,Albany State University
Willie Jones,G,75,185.0,1936-06-29,Northwestern
Adonis Jordan,G,71,170.0,1970-08-21,Kansas
Charles Jordan,F,80,220.0,1954-01-31,Canisius
DeAndre Jordan,C,83,265.0,1988-07-21,Texas A&M
Eddie Jordan,G,73,170.0,1955-01-29,Rutgers University
Jerome Jordan,C,84,253.0,1986-09-29,Tulsa
Michael Jordan*,G-F,78,198.0,1963-02-17,UNC
Reggie Jordan,G,76,195.0,1968-01-26,New Mexico State
Thomas Jordan,F-C,82,220.0,1968-05-23,Oklahoma State
Walter Jordan,F,79,198.0,1956-02-19,Purdue
Phil Jordon,C-F,82,205.0,1933-09-12,Whitworth
Johnny Jorgensen,G-F,74,185.0,1921-12-28,DePaul
Noble Jorgensen,C,81,228.0,1925-05-18,Iowa
Roger Jorgensen,C-F,77,200.0,1920-09-02,Ohio State
Cory Joseph,G,75,200.0,1991-08-20,Texas
Garth Joseph,C,86,315.0,1973-08-08,College of Saint Rose
Kris Joseph,F,79,210.0,1988-12-17,Syracuse
Yvon Joseph,C,83,245.0,1957-10-31,Georgia Tech
Kevin Joyce,G,75,190.0,1951-06-27,South Carolina
Butch Joyner,F,77,200.0,1945-04-26,Indiana
Jeff Judkins,G-F,78,185.0,1956-03-23,Utah
Mfiondu Kabengele,F,81,250.0,1997-08-14,Florida State
Whitey Kachan,G,74,175.0,1925-09-15,DePaul
George Kaftan,F,75,190.0,1928-02-22,Holy Cross
Ed Kalafat,C-F,78,245.0,1932-10-13,Minnesota
Georgios Kalaitzakis,G-F,80,192.0,1999-01-02,
Chris Kaman,C,84,265.0,1982-04-28,Central Michigan University
Frank Kaminsky,F-C,84,240.0,1993-04-04,Wisconsin
Ralph Kaplowitz,G-F,74,170.0,1919-05-18,NYU
Jason Kapono,F,80,213.0,1981-02-04,UCLA
Tony Kappen,G,70,165.0,1919-04-13,
Sergey Karasev,G-F,79,208.0,1993-10-26,
Coby Karl,G,77,215.0,1983-03-06,Boise State
George Karl*,G,74,190.0,1951-05-12,UNC
Ed Kasid,G,71,185.0,1923-08-13,
Mario Kasun,C,85,260.0,1980-04-05,
Leo Katkaveck,G,72,185.0,1923-04-17,NC State
Bob Kauffman,F-C,80,240.0,1946-07-13,Guilford College
Sasha Kaun,C,83,260.0,1985-05-08,Kansas
Wilbert Kautz,G-F,72,180.0,1915-09-07,Loyola Chicago
Clarence Kea,F,78,218.0,1959-02-02,Lamar
Mike Kearns,G,74,178.0,1929-06-18,Princeton
Tommy Kearns,G,71,185.0,1936-10-06,UNC
Adam Keefe,F,81,230.0,1970-02-22,Stanford
Harold Keeling,G,76,185.0,1963-09-18,Santa Clara
Bill Keller,G,70,177.0,1947-08-30,Purdue
Gary Keller,F-C,81,220.0,1944-06-13,Florida
Ken Keller,G,73,180.0,1922-08-16,St. John's
Rich Kelley,C-F,84,235.0,1953-03-23,Stanford
Clark Kellogg,F,79,225.0,1961-07-02,Ohio State
Arvesta Kelly,G,74,175.0,1945-11-20,Lincoln University of Missouri
Jerry Kelly,F,74,172.0,1918-06-14,
Ryan Kelly,F,83,230.0,1991-04-09,Duke
Tom Kelly,G,72,170.0,1924-03-05,NYU
Greg Kelser,F,79,190.0,1957-09-17,Michigan State
Ben Kelso,G,75,195.0,1949-04-11,Central Michigan University
Shawn Kemp,F-C,82,230.0,1969-11-26,Trinity Valley CC
Tim Kempton,F-C,82,245.0,1964-01-25,Notre Dame
Frank Kendrick,F,78,198.0,1950-09-11,Purdue
Luke Kennard,G,77,206.0,1996-06-24,Duke
D.J. Kennedy,F,78,215.0,1989-11-05,St. John's
Goo Kennedy,F-C,77,205.0,1949-08-23,TCU
Joe Kennedy,F,78,210.0,1947-01-12,Duke
Pickles Kennedy,G,71,180.0,1938-05-17,Temple
Larry Kenon,F,81,205.0,1952-12-13,Memphis
Billy Kenville,G-F,74,187.0,1930-12-01,St. Bonaventure
Jonathan Kerner,C,83,245.0,1974-06-06,Florida State East Carolina University
Red Kerr,C-F,81,230.0,1932-07-17,Illinois
Steve Kerr,G,75,175.0,1965-09-27,Arizona
Jack Kerris,F-C,78,215.0,1925-01-30,Loyola Chicago
Jerome Kersey,F,79,215.0,1962-06-26,Longwood University
Tom Kerwin,F,79,210.0,1944-07-19,Centenary (LA)
Alec Kessler,F-C,83,230.0,1967-01-13,Georgia
Lari Ketner,F-C,81,277.0,1977-02-01,UMass
Braxton Key,F,80,230.0,1997-02-14,Alabama Virginia
Julius Keye,F-C,82,200.0,1946-09-05,South Carolina State Alcorn State
Randolph Keys,F-G,79,195.0,1966-04-19,Southern Miss
Viktor Khryapa,F,81,210.0,1982-08-03,
Jason Kidd*,G,76,205.0,1973-03-23,California
Stanton Kidd,F,78,215.0,1992-03-18,South Plains College NC Central Colorado State
Warren Kidd,F,81,235.0,1970-09-09,Middle Tennessee
Michael Kidd-Gilchrist,F,78,232.0,1993-09-26,Kentucky
Irv Kiffin,F,81,225.0,1951-08-08,Oklahoma Baptist University
Jack Kiley,G,73,170.0,1929-01-05,Syracuse
Earnie Killum,G,75,180.0,1948-06-11,Stetson University
Carl Kilpatrick,C,82,230.0,1956-05-16,Louisiana-Monroe
Sean Kilpatrick,G,76,210.0,1990-01-06,Cincinnati
Toby Kimball,F-C,78,220.0,1942-09-07,UConn
Bo Kimble,G,76,190.0,1966-04-09,USC Loyola Marymount
Stan Kimbrough,G,71,153.0,1966-04-24,Central Florida Xavier
Chad Kinch,G,76,190.0,1958-05-22,UNC Charlotte
Albert King,F-G,78,190.0,1959-12-17,Maryland
Bernard King*,F,79,205.0,1956-12-04,Tennessee
Chris King,F,80,215.0,1969-07-24,Wake Forest
Dan King,F,78,220.0,1931-01-07,Western Kentucky
Frankie King,G,73,185.0,1972-06-06,Western Carolina University
George King,G,72,175.0,1928-08-16,University of Charleston
George King,G-F,78,225.0,1994-01-15,Colorado
Gerard King,F,81,230.0,1972-11-25,Nicholls State
Jim King,G,74,175.0,1941-02-07,Tulsa
Jimmy King,G,77,210.0,1973-08-09,Michigan
Louis King,F,79,205.0,1999-04-06,Oregon
Loyd King,G,74,180.0,1949-05-29,Virginia Tech
Maurice King,G,74,195.0,1935-03-12,Kansas
Reggie King,F,78,225.0,1957-02-14,Alabama
Rich King,C,86,260.0,1969-04-04,Nebraska
Ron King,G,76,185.0,1951-07-11,Florida State
Stacey King,F-C,83,230.0,1967-01-29,Oklahoma
Tom King,G,72,165.0,1924-03-09,Michigan
Bob Kinney,C-F,78,215.0,1920-09-16,Rice University
Tarence Kinsey,G,78,185.0,1984-03-21,South Carolina
Andrei Kirilenko,F,81,220.0,1981-02-18,
Alex Kirk,C,84,245.0,1991-11-14,New Mexico
Walt Kirk,G-F,75,173.0,1924-09-03,Illinois
Corey Kispert,G-F,79,220.0,1999-03-03,Gonzaga
Jim Kissane,F,79,210.0,1946-08-17,Boston College
Doug Kistler,F,81,210.0,1938-03-21,Duke
Curtis Kitchen,F,81,235.0,1964-01-30,South Florida
Greg Kite,C,83,250.0,1961-08-05,BYU
Kerry Kittles,G,77,179.0,1974-06-12,Villanova
Maxi Kleber,F,82,240.0,1992-01-29,
Joe Kleine,C,83,255.0,1962-01-04,Notre Dame Arkansas
Linas Kleiza,F,80,245.0,1985-01-03,Missouri
Leo Klier,F-G,74,170.0,1923-05-21,Notre Dame
Herm Klotz,G,67,150.0,1921-10-21,Villanova
Duane Klueh,G,75,175.0,1926-01-06,Indiana State University
Lonnie Kluttz,F,79,220.0,1945-09-17,North Carolina A&T
Billy Knight,G-F,78,195.0,1952-06-09,Pitt
Bob Knight,G-F,74,185.0,1929-04-30,
Brandin Knight,G,72,180.0,1981-12-16,Pitt
Brandon Knight,G,74,182.0,1991-12-02,Kentucky
Brevin Knight,G,70,173.0,1975-11-08,Stanford
Nathan Knight,F-C,82,253.0,1997-09-20,William & Mary
Negele Knight,G,73,175.0,1967-03-06,Dayton
Ron Knight,F,79,215.0,1947-08-04,California State University Los Angeles
Toby Knight,F,81,210.0,1955-05-03,Notre Dame
Travis Knight,C,84,235.0,1974-09-13,UConn
Lee Knorek,C,79,215.0,1921-07-15,Detroit Mercy
Dick Knostman,C,78,215.0,1931-08-09,Kansas State
Rod Knowles,F-C,81,215.0,1946-02-27,Davidson
Kevin Knox,F,79,215.0,1999-08-11,Kentucky
Bart Kofoed,G,76,210.0,1964-03-24,Hastings College University of Nebraska at Kearney
Don Kojis,F,77,215.0,1939-01-15,Marquette
Milo Komenich,F-C,79,212.0,1920-06-22,Wyoming
Howard Komives,G,73,185.0,1941-05-09,Bowling Green
Jon Koncak,C-F,84,250.0,1963-05-17,SMU
John Konchar,G,77,210.0,1996-03-22,Purdue-Fort Wayne
Tom Kondla,C,80,225.0,1946-11-30,Minnesota
Bud Koper,G,78,210.0,1942-08-09,Oklahoma City University
Joe Kopicki,F,81,240.0,1960-06-12,Detroit Mercy
Furkan Korkmaz,G,79,202.0,1997-07-24,
Frank Kornet,F,81,225.0,1967-01-27,Vanderbilt
Luke Kornet,F,86,250.0,1995-07-15,Vanderbilt
Yaroslav Korolev,F,81,203.0,1987-05-07,
Kyle Korver,G-F,79,212.0,1981-03-17,Creighton
Tony Koski,F,80,215.0,1946-06-26,Providence
Len Kosmalski,C,84,245.0,1951-11-29,Tennessee
Andy Kostecka,F,75,203.0,1921-02-10,Georgetown
Harold Kottman,C,80,220.0,1922-08-22,Culver-Stockton College
Kosta Koufos,C,84,245.0,1989-02-24,Ohio State
Tom Kozelko,F,80,220.0,1951-07-01,Toledo
Ronald Kozlicki,F,79,215.0,1944-12-12,Northwestern
Arvid Kramer,C,81,220.0,1956-10-02,Augustana College (SD)
Barry Kramer,F-G,76,200.0,1942-11-10,NYU
Joel Kramer,F-C,79,203.0,1955-11-30,San Diego State
Steven Kramer,G-F,77,200.0,1945-01-01,BYU
Dan Kraus,G,72,195.0,1923-02-13,Georgetown
Herb Krautblatt,G,73,190.0,1926-11-19,Rider University
Viacheslav Kravtsov,C,84,260.0,1987-08-25,
Jim Krebs,C-F,80,230.0,1935-09-08,SMU
Vit Krejci,G,80,195.0,2000-06-19,
Wayne Kreklow,G,76,175.0,1957-01-04,Drake University
Tommy Kron,G,77,200.0,1943-02-28,Kentucky
Tom Kropp,G,75,205.0,1953-02-12,University of Nebraska at Kearney
Nenad Krsti?,C,84,240.0,1983-07-25,
Larry Krystkowiak,F-C,81,220.0,1964-09-23,Montana
Steve Kuberski,F-C,80,215.0,1947-11-06,Bradley
Leo Kubiak,G,71,160.0,1927-12-25,Bowling Green
Bruce Kuczenski,F,82,230.0,1961-02-03,UConn
Frank Kudelka,G-F,74,193.0,1925-06-25,Saint Mary's
John Kuester,G,74,180.0,1955-02-06,UNC
Ray Kuka,F,75,200.0,1922-02-17,Notre Dame
Toni Kuko?*,F,82,192.0,1968-09-18,
Arnoldas Kulboka,F,81,198.0,1998-01-04,
Jonathan Kuminga,F,80,210.0,2002-10-06,
Kevin Kunnert,C-F,84,230.0,1951-11-11,Iowa
Terry Kunze,G-F,76,210.0,1943-03-11,Minnesota
Mitch Kupchak,F-C,81,230.0,1954-05-24,UNC
C.J. Kupec,F-C,78,220.0,1953-01-26,Michigan
Rodions Kurucs,F,81,228.0,1998-02-05,
Rob Kurz,F,81,232.0,1985-03-05,Notre Dame
Ibo Kutluay,G,78,200.0,1974-07-01,
Kyle Kuzma,F,81,221.0,1995-07-24,Utah
Ognjen Kuzmi?,C,85,251.0,1990-05-16,
Mindaugas Kuzminskas,F,81,215.0,1989-10-19,
Fred LaCour,G-F,77,210.0,1938-02-07,San Francisco
Raef LaFrentz,F-C,83,240.0,1976-05-29,Kansas
Tom LaGarde,C-F,82,220.0,1955-02-10,UNC
Rusty LaRue,G,74,210.0,1973-12-10,Wake Forest
Rudy LaRusso,F-C,79,220.0,1937-11-11,Dartmouth College
Zach LaVine,G-F,77,200.0,1995-03-10,UCLA
Skal Labissière,F,82,235.0,1996-03-18,Kentucky
Reggie Lacefield,G-F,77,230.0,1945-04-10,Western Michigan
Edgar Lacey,F,78,190.0,1944-08-02,UCLA
Sam Lacey,C,82,235.0,1948-03-28,New Mexico State
Bob Lackey,G-F,77,200.0,1949-04-04,Marquette
Wendell Ladner,F,77,220.0,1948-10-06,Southern Miss
Christian Laettner,F-C,83,235.0,1969-08-17,Duke
Oliver Lafayette,G,74,190.0,1984-05-06,Houston
Bill Laimbeer,C,83,245.0,1957-05-19,Notre Dame
Pete Lalich,F,74,190.0,1920-06-23,Ohio University
Bo Lamar,G,73,180.0,1951-04-07,Louisiana
Anthony Lamb,F,78,227.0,1998-01-20,University of Vermont
Doron Lamb,G,76,210.0,1991-11-06,Kentucky
Jeremy Lamb,G-F,77,180.0,1992-05-30,UConn
John Lambert,C-F,82,225.0,1953-01-14,USC
Jeff Lamp,F-G,78,195.0,1959-03-09,Virginia
Maciej Lampe,C,83,275.0,1985-02-05,
Jim Lampley,C,82,230.0,1960-07-02,Vanderbilt Little Rock
Sean Lampley,F,79,227.0,1979-09-03,California
Jock Landale,C,83,256.0,1995-10-25,Saint Mary's
Carl Landry,F,81,248.0,1983-09-19,Vincennes University Purdue
Marcus Landry,F,79,230.0,1985-11-01,Wisconsin
Mark Landsberger,F-C,80,215.0,1955-05-21,Minnesota Arizona State
Jerome Lane,F,78,230.0,1966-12-04,Pitt
Andrew Lang,C,83,245.0,1966-06-28,Arkansas
Antonio Lang,F-G,80,205.0,1972-05-15,Duke
James Lang,C,82,285.0,1983-10-17,
Trajan Langdon,G,75,197.0,1976-05-13,Duke
Keith Langford,G,76,215.0,1983-09-15,Kansas
Romeo Langford,G,76,216.0,1999-10-25,Indiana
Dan Langhi,F,83,220.0,1977-11-28,Vanderbilt
Bob Lanier*,C,83,250.0,1948-09-10,St. Bonaventure
Stu Lantz,G,75,175.0,1946-07-13,Nebraska
Nicolás Laprovíttola,G,76,180.0,1990-01-31,
York Larese,G,76,183.0,1938-07-18,UNC
Shane Larkin,G,71,175.0,1992-10-02,Miami (FL)
John Laskowski,G,78,185.0,1953-06-07,Indiana
Stéphane Lasme,F,80,215.0,1982-12-17,UMass
Dave Lattin,F-C,78,225.0,1943-12-23,Texas-El Paso
Priest Lauderdale,C,88,325.0,1973-08-31,Central State University
Rich Laurel,G,78,190.0,1954-07-11,Hofstra
Harry Laurie,G,73,178.0,1944-11-02,Saint Peter's College
Walt Lautenbach,G-F,74,185.0,1922-11-17,Wisconsin
Joffrey Lauvergne,C-F,83,220.0,1991-09-30,
Tony Lavelli,F,75,185.0,1926-07-11,Yale
Bob Lavoy,F-C,79,185.0,1926-06-29,Western Kentucky
Acie Law,G,75,195.0,1985-01-25,Texas A&M
Vic Law,F,79,200.0,1995-12-19,Northwestern
Gani Lawal,F,81,234.0,1988-11-07,Georgia Tech
Edmund Lawrence,C,84,228.0,1952-12-08,McNeese State University
Jason Lawson,C,83,240.0,1974-09-02,Villanova
Ty Lawson,G,71,195.0,1987-11-03,UNC
Jake Layman,F,80,209.0,1994-03-07,Maryland
Mo Layton,G,73,180.0,1948-12-24,USC
Caris LeVert,G-F,78,205.0,1994-08-25,Michigan
T.J. Leaf,F,82,222.0,1997-04-30,UCLA
Manny Leaks,C-F,80,225.0,1945-11-27,Niagara University
Hal Lear,G,72,163.0,1935-01-31,Temple
Allen Leavell,G,73,170.0,1957-05-27,Oklahoma City University
Jeff Lebo,G,74,180.0,1966-10-05,UNC
Eric Leckner,C-F,83,265.0,1966-05-27,Wyoming
Jalen Lecque,G,76,185.0,2000-06-13,
Ricky Ledo,G,79,195.0,1992-09-10,
Butch Lee,G,72,185.0,1956-12-05,Marquette
Clyde Lee,F-C,82,205.0,1944-03-14,Vanderbilt
Courtney Lee,G,77,215.0,1985-10-03,Western Kentucky
Damion Lee,G,77,210.0,1992-10-21,Drexel Louisville
David Lee,F,79,225.0,1942-03-31,San Francisco
David Lee,F,81,245.0,1983-04-29,Florida
Doug Lee,G-F,77,200.0,1964-10-24,Texas A&M Purdue
George Lee,F-G,76,200.0,1936-11-23,Michigan
Greg Lee,G,75,190.0,1951-12-12,UCLA
Keith Lee,F-C,82,215.0,1962-12-28,Memphis
Kurk Lee,G,75,190.0,1967-06-03,Western Kentucky Towson University
Malcolm Lee,G,77,200.0,1990-05-22,UCLA
Rock Lee,C,82,220.0,1955-05-01,California San Diego State
Ron Lee,G,76,193.0,1952-11-02,Oregon
Russ Lee,G-F,77,185.0,1950-01-27,Marshall
Saben Lee,G,74,183.0,1999-06-23,Vanderbilt
Ed Leede,F-G,75,185.0,1927-07-17,Dartmouth College
Hank Lefkowitz,F,74,190.0,1923-08-31,Case Western Reserve University
Tim Legler,G,76,200.0,1966-12-26,La Salle
George Lehmann,G,72,180.0,1942-05-01,Campbell
Barry Leibowitz,G,74,180.0,1945-09-10,Long Island University
Walt Lemon Jr.,G,75,180.0,1992-07-26,Bradley
Alex Len,C,84,250.0,1993-06-16,Maryland
Voshon Lenard,G,76,205.0,1973-05-14,Minnesota
Leary Lentz,F,78,200.0,1945-02-23,Houston
Gary Leonard,C,85,250.0,1967-02-16,Missouri
Kawhi Leonard,F,79,225.0,1991-06-29,San Diego State
Meyers Leonard,C-F,84,260.0,1992-02-27,Illinois
Slick Leonard*,G,75,185.0,1932-07-17,Indiana
Jim Les,G,71,165.0,1963-08-18,Cleveland State University Bradley
Travis Leslie,G,76,205.0,1990-03-29,Georgia
Ronnie Lester,G,74,175.0,1959-01-01,Iowa
Clifford Lett,G,75,170.0,1965-12-23,Florida
Jon Leuer,F,82,228.0,1989-05-14,Wisconsin
Andrew Levane,F-G,74,190.0,1920-04-11,St. John's
Fat Lever,G,75,170.0,1960-08-18,Arizona State
Cliff Levingston,F,80,210.0,1961-01-04,Wichita State
Bobby Lewis,G,75,175.0,1945-03-20,UNC
Cedric Lewis,F-C,82,235.0,1969-09-24,Maryland
Freddie Lewis,F-G,74,195.0,1921-01-06,Eastern Kentucky University
Freddie Lewis,G,72,175.0,1943-07-01,Arizona State
Grady Lewis,F-C,79,215.0,1917-03-25,Oklahoma
Kira Lewis Jr.,G,73,170.0,2001-04-06,Alabama
Martin Lewis,F,77,210.0,1975-04-28,Butler County Community College Seward County Community College
Mike Lewis,C-F,80,225.0,1946-03-18,Duke
Quincy Lewis,F,79,215.0,1977-06-26,Minnesota
Ralph Lewis,F-G,78,200.0,1963-03-28,La Salle
Rashard Lewis,F,82,215.0,1979-08-08,
Reggie Lewis,G-F,79,195.0,1965-11-21,Northeastern University
Scottie Lewis,G,77,189.0,2000-03-12,Florida
Marcus Liberty,F,80,205.0,1968-10-27,Illinois
Todd Lichti,G-F,76,205.0,1967-01-08,Stanford
DeAndre Liggins,G,78,209.0,1988-03-31,Kentucky
Bill Ligon,G,76,180.0,1952-05-29,Vanderbilt
Goose Ligon,F-C,79,210.0,1944-02-22,
Damian Lillard,G,74,195.0,1990-07-15,Weber State
Jeremy Lin,G,75,200.0,1988-08-23,Harvard University
Steve Lingenfelter,F,81,225.0,1958-06-10,Minnesota South Dakota State
Alton Lister,C-F,84,240.0,1958-10-01,Arizona State
Nassir Little,F,77,220.0,2000-02-11,UNC
Samuel Little,G,72,180.0,1946-03-29,Delta State University
Gene Littles,G,72,160.0,1943-06-29,High Point University
Isaiah Livers,F,79,230.0,1998-07-28,Michigan
Randy Livingston,G,76,209.0,1975-04-02,LSU
Shaun Livingston,G,79,192.0,1985-09-11,
Ron Livingstone,C,82,220.0,1925-10-09,Saint Mary's Wyoming
Horacio Llamas,C,83,285.0,1973-07-17,Grand Canyon University
Bobby Lloyd,G,74,184.0,1946-01-03,Rutgers University
Chuck Lloyd,C-F,80,220.0,1947-05-22,Yankton College
Earl Lloyd*,F-C,77,200.0,1928-04-03,West Virginia State University
Lewis Lloyd,G-F,78,205.0,1959-02-22,Drake University
Scott Lloyd,C-F,82,230.0,1952-12-19,Arizona State
Riney Lochmann,F,78,215.0,1944-05-26,Kansas
Bob Lochmueller,F,77,185.0,1927-06-05,Louisville
Rob Lock,F,81,225.0,1966-05-22,Kentucky
Darrell Lockhart,C,81,245.0,1960-09-14,Auburn
Ian Lockhart,F,80,240.0,1967-06-25,Tennessee
Kevin Loder,F-G,78,205.0,1959-03-15,Kentucky State University Alabama State University
Don Lofgran,F-C,77,200.0,1929-11-08,San Francisco
Zach Lofton,G,76,180.0,1992-11-18,Illinois State Texas Southern New Mexico State
Henry Logan,G,72,180.0,1946-03-14,Western Carolina University
John Logan,G,74,175.0,1921-01-01,Indiana
Brad Lohaus,F-C,83,230.0,1964-09-29,Iowa
Art Long,F-C,81,250.0,1972-10-01,Cincinnati
Grant Long,F,80,225.0,1966-03-12,Eastern Michigan
John Long,G-F,77,195.0,1956-08-28,Detroit Mercy
Paul Long,G,74,180.0,1944-02-08,Wake Forest
Shawn Long,C-F,81,255.0,1993-01-29,Louisiana
Willie Long,F-C,80,225.0,1950-03-01,New Mexico
Luc Longley,C,86,265.0,1969-01-19,New Mexico
Kevon Looney,F-C,81,222.0,1996-02-06,UCLA
Brook Lopez,C,84,282.0,1988-04-01,Stanford
Felipe López,G,77,199.0,1974-12-19,St. John's
Raül López,G,73,170.0,1980-04-15,
Robin Lopez,C,84,281.0,1988-04-01,Stanford
Ryan Lorthridge,G,76,190.0,1972-07-27,Jackson State University
Jim Loscutoff,F,77,220.0,1930-02-04,Oregon
Plummer Lott,F-G,77,210.0,1945-12-11,Seattle University
Kevin Loughery,G,75,190.0,1940-03-28,Boston College St. John's
Didi Louzada,G,77,188.0,1999-02-07,
Bob Love,F,80,215.0,1942-12-08,Southern University and A&M College
Kevin Love,F,80,251.0,1988-09-07,UCLA
Stan Love,F,81,215.0,1949-04-09,Oregon
Clyde Lovellette*,C-F,81,234.0,1929-09-07,Kansas
Sidney Lowe,G,72,195.0,1960-01-21,NC State
Charlie Lowery,G,75,185.0,1949-11-12,University of Puget Sound
Kyle Lowry,G,72,196.0,1986-03-25,Villanova
Jordan Loyd,G,76,210.0,1993-07-27,Furman University University of Indianapolis
Al Lucas,F-G,75,195.0,1922-07-04,Fordham
Jerry Lucas*,F-C,80,230.0,1940-03-30,Ohio State
John Lucas,G,75,175.0,1953-10-31,Maryland
Kalin Lucas,G,73,195.0,1989-05-24,Michigan State
Maurice Lucas,F-C,81,215.0,1952-02-18,Marquette
John Lucas III,G,71,166.0,1982-11-21,Baylor Oklahoma State
Ted Luckenbill,F,78,205.0,1939-07-27,Houston
Tyronn Lue,G,72,175.0,1977-05-03,Nebraska
Jim Luisi,G,74,180.0,1928-11-02,St. Francis College
Al Lujack,F,75,220.0,1920-10-05,Georgetown
Phil Lumpkin,G,72,165.0,1951-12-20,Miami University
Ray Lumpp,G,73,178.0,1923-07-11,NYU
Gabriel Lundberg,G,76,203.0,1994-12-04,
Timothé Luwawu-Cabarrot,F,79,220.0,1995-05-09,
Tyler Lydon,F,82,225.0,1996-04-09,Syracuse
Trey Lyles,F,81,234.0,1995-11-05,Kentucky
George Lynch,F,80,218.0,1970-09-03,UNC
Kevin Lynch,G-F,77,195.0,1968-12-24,Minnesota
Lonnie Lynn,F,79,215.0,1943-05-24,Wilberforce University
Mike Lynn,F,79,215.0,1945-11-25,UCLA
Sheldon Mac,G,77,200.0,1992-12-21,Miami (FL)
Todd MacCulloch,C,84,280.0,1976-01-27,Washington
Ronnie MacGilvray,G,74,185.0,1930-07-20,St. John's
Don MacLean,F,82,235.0,1970-01-16,UCLA
Mike Macaluso,F,77,210.0,1951-07-20,Canisius
Ed Macauley*,C-F,80,185.0,1928-03-22,Saint Louis
Scott Machado,G,73,205.0,1990-06-08,Iona College
Arvydas Macijauskas,G,76,214.0,1980-01-19,
Ollie Mack,G,75,185.0,1957-06-06,East Carolina University
Sam Mack,F-G,79,220.0,1970-05-26,Iowa State Tyler Junior College Houston
Shelvin Mack,G,75,203.0,1990-04-22,Butler
Malcolm Mackey,F-C,81,248.0,1970-07-11,Georgia Tech
Rudy Macklin,F-G,79,205.0,1958-02-19,LSU
Vernon Macklin,F,82,227.0,1986-09-20,Georgetown Florida
Johnny Macknowski,G-F,72,180.0,1923-01-07,Seton Hall
Daryl Macon,G,74,185.0,1995-11-29,Arkansas
Mark Macon,G,77,185.0,1969-04-14,Temple
J.P. Macura,G,77,203.0,1995-06-05,Xavier
Kyle Macy,G,75,175.0,1957-04-09,Purdue Kentucky
Jack Maddox,F-G,75,185.0,1919-12-10,West Texas A&M University
Tito Maddox,G,76,190.0,1981-06-07,Fresno State
Gerald Madkins,G,76,200.0,1969-04-18,UCLA
Mark Madsen,F,81,240.0,1976-01-28,Stanford
Norm Mager,F,77,185.0,1926-03-23,City College of New York
Josh Magette,G,73,160.0,1989-11-28,Alabama-Huntsville
Corey Maggette,F,78,218.0,1979-11-12,Duke
Dave Magley,F,80,202.0,1959-11-24,Kansas
Jamaal Magloire,C,83,259.0,1978-05-21,Kentucky
Will Magnay,C,82,234.0,1998-06-10,Tulsa
Randolph Mahaffey,F,79,210.0,1945-09-28,Clemson
Ian Mahinmi,C,83,262.0,1986-11-05,
John Mahnken,C,80,220.0,1922-06-16,Georgetown
Brian Mahoney,G,75,175.0,1948-12-17,Manhattan College
Mo Mahoney,F,74,205.0,1927-11-20,Brown University
Rick Mahorn,C-F,82,240.0,1958-09-21,Hampton
Dan Majerle,G-F,78,215.0,1965-09-09,Central Michigan University
Renaldo Major,F,79,200.0,1982-05-07,South Plains College Fresno State
Thon Maker,F-C,84,221.0,1997-02-25,
Lionel Malamed,G,69,150.0,1924-11-15,City College of New York
Théo Maledon,G,76,175.0,2001-06-12,
Jeff Malone,G,76,205.0,1961-06-28,Mississippi State
Karl Malone*,F,81,250.0,1963-07-24,Louisiana Tech
Moses Malone*,C-F,82,215.0,1955-03-23,
Matt Maloney,G,75,192.0,1971-12-06,Vanderbilt Penn
Steve Malovic,F,82,230.0,1956-07-21,USC San Diego State
Mike Maloy,F,79,215.0,1949-05-10,Davidson
Sandro Mamukelashvili,F,83,240.0,1999-05-23,Seton Hall
Ted Manakas,G,74,180.0,1951-02-22,Princeton
John Mandic,F-C,76,205.0,1919-10-03,Oregon State
Karim Mané,G,75,190.0,2000-05-16,Vanier College
Frank Mangiapane,G,70,195.0,1925-08-05,NYU
Terance Mann,G-F,77,215.0,1996-10-18,Florida State
Tre Mann,G,75,178.0,2001-02-03,Florida
Danny Manning,F-C,82,230.0,1966-05-17,Kansas
Ed Manning,F,79,210.0,1944-01-02,Jackson State University
Guy Manning,F,78,195.0,1944-02-04,Prairie View A&M University
Rich Manning,C,83,253.0,1970-06-23,Syracuse Washington
Nico Mannion,G,74,190.0,2001-03-14,Arizona
Pace Mannion,G,79,190.0,1960-09-22,Utah
Nick Mantis,G,75,190.0,1935-12-07,Northwestern
Pete Maravich*,G,77,197.0,1947-06-22,LSU
Press Maravich,G,72,185.0,1915-08-29,Davis & Elkins College
Devyn Marble,G-F,78,200.0,1992-09-21,Iowa
Roy Marble,G-F,78,190.0,1966-12-13,Iowa
Stephon Marbury,G,74,180.0,1977-02-20,Georgia Tech
